从哪一天开始在广州市内骑摩托车会被没收？|2007年1月16日
广珠城际铁路平均每小时可以走多远？|200公里
进入国内生产总值「万亿元俱乐部」的城市第三个为？|广州
1978年的广州市农业生产总值到了哪一年占地区生总值减少了约9.39%？|2015
中华人民共和国成立后由于什么事件广州的工业发展又减慢？|文化大革命
唐朝的对外贸易核心在哪？|广州
广东政府在甚么时候成为傀儡政府？|1858年
孙中山死掉约24年后广州被甚么占领了？|中国人民解放军
省港大罢工是除了广州以外还有哪个地区参与？|香港
在全国性反日示威的6年前的抗议活动是在抗议甚么？|北约轰炸中国驻南斯拉夫大使馆
广州又称花市跟位于哪一带有关？|亚热带
2010年8月1日撑粤语集会的集会人是最后在哪里释放？|东山体育场
广州市政府因亚运而在2010年之前进行的工程之一在新旧立交桥髹上涂油漆是用甚么颜色？|灰白
哪边的人口密度为广州市的一百倍分之一以下？|从化市
有百分之多少的犯人被抓的是外地人？|80
广州的流动人士当中甚么性别的比较多？|男性
在2014年10月在广州居住的外籍人士中有登记的有多少？|11.8万人
在广州许多比较大的公众场合以甚么为主要交流语言？|普通话
为了培养翻译人才的学校设在哪边？|广州
在2015年获得超联赛冠军是哪支球队？|广州恒大
哪个地区的言论自由是较中国其他地区开放？|广州
广东广播电视台是在什么时候成立的？|2014年4月23日
广州府的前身为？|广州路
与其他电视台相比广州市各电视台在晚上7到9点的时段播出的内容更带给人什么样的感觉？|更具社会责任
在广州除了广州日报和南方都市报日发行量超过100万份的报纸还有？|羊城晚报
香港的四个免费频道从无线纳入有线是在甚么时候？|90年代
在广州超过9000公分高的建筑物高达多少座以上？|400
广州人因为对饮食重视而有什么之称？|食在广州
广州市内的文物保护单位中比国家级多出140个的是哪级？|市级
广州的四大人工湖公园于哪一年建成？|1958
广东军政府是在什么时候成立的？|1912年
改革开放后，第一个在广州设置领事馆的国家为？|美国
共产党组织受到严重破坏是在哪一年发生的某个事件之后？|1927
广州的经济瘫痪是在什么事件发生之后？|文化大革命
亚洲运动会在广州举办是什么时候？|2010年11月
现在广东市区主要位于广东市的哪一区？|越秀区
什么时候开始广州之下已经没有县跟县级市？|2014年2月
货运指数于2014年排名第一的是哪一座城市？|广州
组织世界杯的机构的主要据点在哪？|瑞士苏黎世
为纪念国际足球总会诞生100周年的巴西跟法国国家足球队纪念赛结果分数为？|0-0
在亚洲中什么国家有加入亚足协但未加入国际足球总会？|北马里亚纳群岛
有人认为国际足球总会有什么问题因此实际上是在危及足球运动？|腐败
国际足球总会赚了40亿美元只靠什么和广告的收入？|电视转播权
要租一套门线技术在球场使用需要支付多少？|25万美元
录影回放技术的第一次在世俱杯应用是在哪一年？|2016
图像互换格式当中主要的部分有多少个？|五
函数的对应域是函数中什么的集合？|输出值
翻译出中文「函数」这个名词的是谁？|李善兰
处处不可导的连续函数对于什么物理现象的建模有重要的作用？|布朗运动
首都是基希涅夫的国家的人和哪一国的人是同个祖先？|罗马尼亚
摩尔多瓦的人口贩卖大部分会被贩卖至的地区其中一个在亚洲的是？|阿富汗
摩尔多瓦这个国家的人口分布中什么人跟乌克兰人的数量差不多？|俄罗斯
生物学由何种概念开始?|经验主义
基因是什么的基本单位?|遗传
吻切这个字的字源是什么意思？|吻
大多数情况下会用什么而可以很方便的设置这些曲线切线相交的轨迹？|二次圆锥曲线
正楷是在什么朝代开始出现？|唐代
为何汉字的异体字非常多？|结构复杂
《第一批简体字表》公布约20年半之后中国政府公布了什么？|汉字简化方案
宋体主要是用作什么用途？|印刷
汉字的基本字根有多少？|1134个
合体字占了汉字几成以上？|9
根据郑樵的搜集形母有多少个？|三百三十
「浬」、「嗧」字在哪边已经废除了？|中国
哪一机关公布的表跟中华民国教育部颁布的《常用国字标准字体表》收录字差约50字？|香港教育署
「𠄌」和「𠃉」都是多少笔画的汉字？|一
朝鲜半岛曾经正式文书的唯一系统为？|汉字
韩国的人名、公司机构名称除了使用韩文也有对应的什么文字的名称？|汉字
日本人称中国使用的文字为？|汉字
越南在哪一年之后就不再使用汉字？|1945
「乙」字在吏读中拿来表示韩语的什么后缀？|-l
打灯虎是什么节日的重要活动？|元宵节
汉字的电脑输入得到了解决是由于出现了什么？|中文输入法
为何外行人可以一眼就能看出科学术语的中文单词？|汉字是表意文字
在湖北杨家湾大溪文化遗址的大量陶器是在哪一年出土的？|1994
目前甲骨文有约几千字已经被认出？|2
小篆是哪一朝代开始出现的？|秦朝
形声、会意的组字法是以何种方式来造出大量的字？|组合
啤酒的「啤」字是在大约什么时候造的？|1910年
中国在甚么时候淘汰了多音节的汉字？|1977年7月20日
《清史稿》在何时被列为禁书？|国民政府北伐后
清史稿到甚么时候大致上已经完成？|1927年
国民革命军在什么时候北伐成功？|1928年
《清史稿》于什么时候开始价格飙涨？|1930年2月
「南京本」是在什么战争时出版的？|抗日战争
《清史稿》中华书局点校本整套有多少册？|48
禁止《清史稿》发售的是什么政府？|南京国民政府
标签图档格式编辑后储存不会有什么样的损失？|压缩
南非的总统是由什么机构所选出的？|议会
韩战是在哪一天停战的？|1953年7月27日
金日成在1949年北京和哪个地区求当地政府一起解放韩国？|莫斯科
联合国安全理事会通过第82号决议当晚是谁授权美国海军、空军攻击朝鲜人民军？|杜鲁门
美国的什么军队受杜鲁门的命令防卫台湾？|第7舰队
美军在韩战的首次作战陆军方面是在哪一天？|7月5日
到朝鲜半岛帮助韩国攻打北韩的国家有多少？|18个
是谁因为认为台湾是中国领土而谴责美军进入台湾海峡？|周恩来
「中国人民志愿军」这一个名称是在什么时候确立的？|1950年7月7日
韩国进入北韩从哪一天开始？|10月1日
杜鲁门觉得周恩来要潘尼迦转告给美国的话试图影响什么？|376号决议
中国人民志愿军第42军进入朝鲜半岛是经过什么河流？|鸭绿江
非韩国的国家以什么名义参加韩战？|联合国军
抗美援朝纪念日在哪一天？|10月25日
第二次战役在1950年的哪一天结束？|12月24日
第三次战役于什么时候开始？|1950年12月31日
第498号决议的提案投票当中弃权有多少？|8票
是谁批评美国操纵联合国？|周恩来
砥平里战役中中国方参战的约有多少人？|25,000
彭德怀因为什么困难而返回北京找毛泽东？|前线
美军的弹药量被称为「范弗里特的弹药量」是因为量是平常的多少倍？|五
麦克阿瑟和哪一方的意见有著很多的冲突？|杜鲁门政府
麦克阿瑟在哪一天被免去了联合国军最高司令官的职位？|4月10日
哪一天开始韩国国军相对于朝鲜人民军处于优势？|9月15日
中国透过在哪边发表社论什么来表达对马立克之立场的赞同？|人民日报
重新恢复的停战谈判开在哪里？|板门店
联合国军在攻击喋血岭期间共死了多少人？|326
被开除朝鲜劳动党的两个人当中担任军事院校的领导的是谁？|方虎山
联合国提出停战失败后什么由国家提出才开始谈判？|苏联
金城战役中什么军的死亡人数多出志愿军的伤亡人数约3万人？|联合国军
第64军在1950年至1953年中航空工程兵师共轮换了多少？|2个
志愿军空军当中有击落过联合国军飞机的人数为？|212
艾森豪声称使用核武器的目的为？|结束战争
韩战的停战协议在哪边签？|板门店
志愿军击毁击伤的什么东西比汽车少1159辆？|坦克
釜山战俘收容所是从什么时候开始盖的？|1950年下半年
北韩于甚么时候成为联合国的会员国？|1991年
为什么大部分的战俘没有在美军进行「甄别」时选择遣返？|暴力威胁
战俘遣返委员会成立于1953年的什么时候？|7月
对战俘进行的解释工作长达多久的时间？|90天
38名在看管期间中死亡的战俘多数被怀疑是被哪一方杀死？|反共战俘
联合国军于什么时候单方面终止对朝鲜和中国战俘的解释工作？|1953年12月23日
1954年初志愿军不直接遣返的战俘去中华民国的人数为？|14,235
韩国国军在全岛的大屠杀中被杀的至少有多少人？|3万
朝鲜人民军在攻下汉城当天屠杀了至少多少人？|700
美军1950年至1951年间屠杀平民事件有超过多少起以上？|200
第二次世界大战时日本在哪一年无条件投降？|1945年
8月29日时除了平壤以外有多少座北韩的城市被联合国军轰炸？|77
边震瑕认为在第4集中营里4000多名战俘是因什么而死？|细菌性痢疾
303高地屠杀中死了多少美国军人？|45
朝鲜人民军为了要增加战后建设的人手而把多少韩国的一般人绑架了？|43,000
1950年代和1960年代时北韩的经济发展有什么别称？|千里马速度
1960年代朝鲜为了保证自己最大的利益而和中国和哪一国保持友好关系？|苏联
大韩民国是朝鲜半岛唯一的合法政府是根据联合国的哪一个决议？|195号
因为哪一场战争使韩战被称为「被遗忘的战争」？|越南战争
中国托哪一个国家的福而能够自主研发核武器？|苏联
有人认为弃朝论会让在韩战中牺牲的什么白白浪费？|18万人
美国为了防止中国攻击台湾而将什么带来台湾海峡？|第七舰队
英军在什么时候开始进入韩国？|1950年7月
韩战以后联合国军中哪一国是最后一个在首都立碑纪念的？|英国
北韩人民军在1950年6月的人数为？|17.5万
韩战爆发前韩国的坦克数量是北韩的几分之一？|6.5
